NAME,GROUP,Total,Owner Occupied,Renter Occupied,Owner Fraction,Renter Fraction
"Atlantic County, New Jersey",Black,13911,5860,8051,0.42124937100136584,0.5787506289986342
"Atlantic County, New Jersey",Latina/o,15846,6570,9276,0.41461567588034837,0.5853843241196517
"Atlantic County, New Jersey",Overall,106640,72378,34262,0.6787134283570893,0.32128657164291075
"Atlantic County, New Jersey",White,67236,52985,14251,0.7880450948896425,0.21195490511035756
"Bergen County, New Jersey",Black,20890,9226,11664,0.44164672091910007,0.5583532790808999
"Bergen County, New Jersey",Latina/o,64748,30503,34245,0.47110335454376967,0.5288966454562303
"Bergen County, New Jersey",Overall,350843,228445,122398,0.6511317027844363,0.34886829721556367
"Bergen County, New Jersey",White,205483,151111,54372,0.7353941688606843,0.2646058311393157
"Burlington County, New Jersey",Black,26612,16714,9898,0.6280625281827746,0.3719374718172253
"Burlington County, New Jersey",Latina/o,11920,7260,4660,0.6090604026845637,0.39093959731543626
"Burlington County, New Jersey",Overall,174454,132314,42140,0.7584463526201749,0.24155364737982504
"Burlington County, New Jersey",White,122124,98903,23221,0.8098571943270774,0.1901428056729226
"Camden County, New Jersey",Black,37191,17716,19475,0.47635180554435214,0.5236481944556479
"Camden County, New Jersey",Latina/o,28208,12757,15451,0.4522475893363585,0.5477524106636416
"Camden County, New Jersey",Overall,198757,130036,68721,0.6542461397585997,0.3457538602414003
"Camden County, New Jersey",White,120061,90708,29353,0.7555159460607525,0.24448405393924755
"Cape May County, New Jersey",Black,1553,634,919,0.4082421120412106,0.5917578879587895
"Cape May County, New Jersey",Latina/o,2107,962,1145,0.4565733270052207,0.5434266729947793
"Cape May County, New Jersey",Overall,43277,33950,9327,0.784481364235044,0.21551863576495597
"Cape May County, New Jersey",White,38506,31396,7110,0.8153534514101698,0.18464654858983015
"Cumberland County, New Jersey",Black,8967,3414,5553,0.3807293409166945,0.6192706590833055
"Cumberland County, New Jersey",Latina/o,13437,6878,6559,0.5118702091240604,0.48812979087593955
"Cumberland County, New Jersey",Overall,52584,34720,17864,0.6602768903088392,0.3397231096911608
"Cumberland County, New Jersey",White,28281,22940,5341,0.8111452918920831,0.18885470810791696
"Essex County, New Jersey",Black,120863,34140,86723,0.2824685801279134,0.7175314198720866
"Essex County, New Jersey",Latina/o,64435,21891,42544,0.3397377201831303,0.6602622798168697
"Essex County, New Jersey",Overall,312942,139811,173131,0.4467632979913211,0.5532367020086789
"Essex County, New Jersey",White,100110,68452,31658,0.683767855359105,0.316232144640895
"Gloucester County, New Jersey",Black,11111,6764,4347,0.6087660876608766,0.3912339123391234
"Gloucester County, New Jersey",Latina/o,5564,3374,2190,0.6063982746225737,0.3936017253774263
"Gloucester County, New Jersey",Overall,109996,87641,22355,0.7967653369213425,0.2032346630786574
"Gloucester County, New Jersey",White,88802,73963,14839,0.8328979077047814,0.16710209229521858
"Hudson County, New Jersey",Black,34118,8697,25421,0.2549094319713934,0.7450905680286066
"Hudson County, New Jersey",Latina/o,110446,26992,83454,0.24439092407149196,0.755609075928508
"Hudson County, New Jersey",Overall,290054,93531,196523,0.32246064525915863,0.6775393547408414
"Hudson County, New Jersey",White,94478,38581,55897,0.4083596181121531,0.591640381887847
"Hunterdon County, New Jersey",Black,599,484,115,0.8080133555926544,0.19198664440734559
"Hunterdon County, New Jersey",Latina/o,2405,1482,923,0.6162162162162163,0.3837837837837838
"Hunterdon County, New Jersey",Overall,49676,41967,7709,0.8448143972944682,0.15518560270553183
"Hunterdon County, New Jersey",White,44018,37775,6243,0.8581716570493889,0.1418283429506111
"Mercer County, New Jersey",Black,27891,11185,16706,0.4010254203865046,0.5989745796134954
"Mercer County, New Jersey",Latina/o,20220,9470,10750,0.46834817012858554,0.5316518298714145
"Mercer County, New Jersey",Overall,139549,87635,51914,0.6279873019512859,0.37201269804871406
"Mercer County, New Jersey",White,74722,55538,19184,0.7432616899975911,0.25673831000240893
"Middlesex County, New Jersey",Black,31689,12871,18818,0.4061661775379469,0.5938338224620531
"Middlesex County, New Jersey",Latina/o,55374,23949,31425,0.4324953949506989,0.5675046050493011
"Middlesex County, New Jersey",Overall,301967,192805,109162,0.6384969218490762,0.36150307815092375
"Middlesex County, New Jersey",White,143523,108174,35349,0.7537049810831713,0.24629501891682867
"Monmouth County, New Jersey",Black,15667,6977,8690,0.4453309504053105,0.5546690495946894
"Monmouth County, New Jersey",Latina/o,19419,10559,8860,0.5437458159534476,0.4562541840465523
"Monmouth County, New Jersey",Overall,248117,187471,60646,0.7555749908309386,0.24442500916906137
"Monmouth County, New Jersey",White,196494,157446,39048,0.8012763748511404,0.1987236251488595
"Morris County, New Jersey",Black,5953,2934,3019,0.4928607424827818,0.5071392575172182
"Morris County, New Jersey",Latina/o,21884,10882,11002,0.49725827088283675,0.5027417291171632
"Morris County, New Jersey",Overall,189607,140016,49591,0.7384537490704457,0.2615462509295543
"Morris County, New Jersey",White,140089,110711,29378,0.7902904582087101,0.2097095417912898
"Ocean County, New Jersey",Black,6015,3050,2965,0.5070656691604323,0.4929343308395677
"Ocean County, New Jersey",Latina/o,16707,10142,6565,0.6070509367331058,0.3929490632668941
"Ocean County, New Jersey",Overall,239466,191328,48138,0.798977725439102,0.201022274560898
"Ocean County, New Jersey",White,208578,172426,36152,0.8266739541082953,0.17332604589170478
"Passaic County, New Jersey",Black,19558,5356,14202,0.27385213211984866,0.7261478678801514
"Passaic County, New Jersey",Latina/o,65935,20099,45836,0.3048305149010389,0.6951694850989611
"Passaic County, New Jersey",Overall,177209,92827,84382,0.5238277965566083,0.47617220344339173
"Passaic County, New Jersey",White,81596,60517,21079,0.7416662581499093,0.25833374185009067
"Salem County, New Jersey",Black,3583,1252,2331,0.34942785375383756,0.6505721462461624
"Salem County, New Jersey",Latina/o,1930,924,1006,0.47875647668393784,0.5212435233160622
"Salem County, New Jersey",Overall,24744,17474,7270,0.7061913999353379,0.29380860006466214
"Salem County, New Jersey",White,18562,14732,3830,0.7936644758107962,0.20633552418920376
SoMa,Black,3790,2480,1310,0.6543535620052771,0.34564643799472294
SoMa,Latina/o,645,474,171,0.7348837209302326,0.2651162790697674
SoMa,Overall,14264,10309,3955,0.7227285473920358,0.2772714526079641
SoMa,White,8792,6728,2064,0.7652411282984531,0.23475887170154686
"Somerset County, New Jersey",Black,12845,7591,5254,0.5909692487349163,0.4090307512650837
"Somerset County, New Jersey",Latina/o,15894,7264,8630,0.45702780923618974,0.5429721907638102
"Somerset County, New Jersey",Overall,127566,96103,31463,0.7533590455136949,0.24664095448630513
"Somerset County, New Jersey",White,75561,62911,12650,0.832585593096968,0.167414406903032
"Sussex County, New Jersey",Black,1030,752,278,0.7300970873786408,0.26990291262135924
"Sussex County, New Jersey",Latina/o,4388,3491,897,0.7955788514129444,0.2044211485870556
"Sussex County, New Jersey",Overall,56348,47761,8587,0.8476077234329523,0.15239227656704762
"Sussex County, New Jersey",White,48603,41483,7120,0.8535069851655248,0.14649301483447524
"Union County, New Jersey",Black,42142,19431,22711,0.46108395424991694,0.538916045750083
"Union County, New Jersey",Latina/o,57374,21180,36194,0.3691567609021508,0.6308432390978492
"Union County, New Jersey",Overall,199996,115331,84665,0.5766665333306666,0.4233334666693334
"Union County, New Jersey",White,85753,64479,21274,0.7519153848844938,0.24808461511550617
"Warren County, New Jersey",Black,1802,1063,739,0.5899001109877914,0.4100998890122087
"Warren County, New Jersey",Latina/o,3352,1898,1454,0.5662291169451074,0.4337708830548926
"Warren County, New Jersey",Overall,44370,32287,12083,0.7276763578994816,0.27232364210051835
"Warren County, New Jersey",White,37422,28052,9370,0.7496125273903052,0.25038747260969485
ZCTA5 07040,Black,2507,1645,862,0.6561627443159155,0.3438372556840846
ZCTA5 07040,Latina/o,367,261,106,0.7111716621253406,0.2888283378746594
ZCTA5 07040,Overall,8401,6467,1934,0.7697893107963337,0.23021068920366622
ZCTA5 07040,White,4970,4185,785,0.8420523138832998,0.1579476861167002
ZCTA5 07079,Black,1283,835,448,0.6508183943881528,0.34918160561184725
ZCTA5 07079,Latina/o,278,213,65,0.7661870503597122,0.23381294964028776
ZCTA5 07079,Overall,5863,3842,2021,0.6552959235886066,0.3447040764113935
