NAME,White,Black,Latina/o,Black White Gap,Latina/o White Gap
"Atlantic County, New Jersey",86136,49658,50186,36478,35950
"Bergen County, New Jersey",126191,88587,90934,37604,35257
"Burlington County, New Jersey",106552,86391,85321,20161,21231
"Camden County, New Jersey",98984,55821,53993,43163,44991
"Cape May County, New Jersey",86285,41014,69381,45271,16904
"Cumberland County, New Jersey",78625,41250,51968,37375,26657
"Essex County, New Jersey",125107,54727,60235,70380,64872
"Gloucester County, New Jersey",103750,71010,82855,32740,20895
"Hudson County, New Jersey",113851,63023,63420,50828,50431
"Hunterdon County, New Jersey",132989,118125,122371,14864,10618
"Mercer County, New Jersey",108700,56828,72250,51872,36450
"Middlesex County, New Jersey",102638,90049,77774,12589,24864
"Monmouth County, New Jersey",124071,64003,90889,60068,33182
"Morris County, New Jersey",137409,89511,91168,47898,46241
"Ocean County, New Jersey",82688,64306,80660,18382,2028
"Passaic County, New Jersey",110267,51743,64167,58524,46100
"Salem County, New Jersey",83508,39601,52574,43907,30934
"Somerset County, New Jersey",135664,100730,88309,34934,47355
"Sussex County, New Jersey",110607,134810,101243,-24203,9364
"Union County, New Jersey",127001,81578,71103,45423,55898
"Warren County, New Jersey",93596,91692,82612,1904,10984
ZCTA5 07040,229839,102930,137092,126909,92747
ZCTA5 07079,186467,139292,160357,47175,26110
